p11,p22
536,803
328,366
233,176
162,578
512,790
415,76
634,248
615,115
409,302
573,414
422,550
448,268
646,408
777,450
548,249
591,829
33,485
503,29
96,24
51,402
470,89
209,369
364,106
547,112
345,377
735,330
495,201
763,767
45,490
633,282
406,414
248,276
609,842
508,816
831,413
635,788
548,408
387,116
422,780
603,114
448,246
631,232
88,365
339,326
226,716
784,60
80,635
769,837
707,210
76,609
615,842
634,166
450,246
415,281
115,116
410,603
646,421
408,766
248,10
249,406
548,426
777,50
725,393
702,158
55,803
227,339
177,746
508,80
344,224
364,55
88,283
337,707
226,345
727,701
531,180
712,327
531,176
158,631
538,536
657,328
57,162
801,106
322,110
539,737
380,309
510,368
687,733
704,710
788,769
413,281
114,60
408,450
387,622
550,265
635,790
406,72
246,426
116,76
603,249
831,415
780,252
842,64
816,452
248,543
448,832
578,326
366,702
481,322
801,233
174,803
629,456
610,452
387,780
42,221
19,39
154,365
733,544
369,210
335,717
315,282
581,485
630,843
64,831
778,844
422,351
508,265
417,787
448,72
409,610
302,788
790,423
512,816
550,832
573,114
268,413
414,543
276,835
235,796
7,51
199,750
656,761
557,218
299,716
364,578
733,345
547,510
330,380
111,46
812,556
629,61
456,791
176,340
88,180
551,835
548,451
248,75
246,268
816,845
422,115
64,598
788,589
609,302
408,423
778,421
276,837
114,379
406,166
414,417
252,10
116,766
281,351
544,710
657,536
791,257
629,599
456,41
61,123
282,704
421,768
610,452
816,256
166,594
50,451
57,272
226,174
633,233
803,184
154,55
344,184
45,581
575,494
377,345
735,330
112,547
51,214
78,743
80,543
408,831
508,252
276,637
635,770
387,248
790,647
407,75
417,769
609,421
407,75
832,835
573,603
302,116
638,754
564,419
470,430
55,707
462,319
642,483
595,127
536,364
808,299
707,335
615,409
777,573
422,548
646,634
630,591
315,88
133,214
560,18
592,403
136,811
544,631
754,665
638,101
162,365
707,335
283,315
210,314
180,377
727,735
327,112
631,226
328,735
364,162
88,176
536,337
737,712
701,106
531,110
710,654
368,539
322,309
801,687
640,597
590,629
578,657
538,803
366,375
481,158
57,233
369,317
717,702
174,282
326,365
545,687
55,481
640,597
590,629
112,328
106,380
510,737
733,110
331,374
531,283
158,176
653,106
716,545
597,428
629,165
590,639
162,806
51,147
339,460
227,717
184,366
481,210
335,803
578,154
315,233
180,330
547,727
327,345
344,631
536,283
176,314
55,162
707,328
112,309
687,735
368,377
531,539
801,701
322,712
88,544
337,365
717,224
364,369
282,226
57,317
158,326
702,375
174,657
538,545
490,497
630,33
53,217
634,512
696,246
680,426
156,543
102,64
64,696
680,246
156,426
102,543
35,624
767,94
680,107
93,210
236,365
300,582
531,510
733,712
380,701
597,88
662,476
453,591
629,41
847,641
456,590
839,49
396,655
668,242
640,61
538,95
315,372
7,42
404,402
42,404
7,402
800,508
374,769
766,112
429,276
548,340
461,249
831,231
800,831
769,231
461,548
429,508
374,766
276,340
112,249
55,369
210,485
680,20
300,470
365,214
597,88
629,41
662,591
476,453
372,95
640,242
538,61
668,315
847,93
396,786
456,839
590,389
404,138
7,751
42,19
402,147
404,70
402,761
751,630
42,237
138,638
7,179
147,620
19,277
58,254
634,512
107,20
582,470
236,214
93,485
608,848
476,315
61,118
165,257
668,453
467,206
799,298
773,578
538,629
707,243
88,372
597,242
41,95
8,764
570,360
662,640
375,184
57,335
315,538
657,154
158,210
309,727
327,368
180,687
634,8
799,243
453,372
257,848
88,668
608,511
95,591
315,597
476,242
467,360
570,165
773,578
629,538
707,298
61,41
640,662
282,176
631,365
328,717
369,536
162,544
512,409
322,547
801,330
345,539
735,110
737,112
377,106
581,630
591,147
707,317
702,55
314,545
326,283
344,174
634,409
170,279
639,467
88,456
599,298
847,118
213,243
428,578
522,608
257,774
41,655
662,396
629,49
123,570
786,597
476,590
453,389
485,59
101,430
546,829
218,404
51,307
803,224
233,337
364,366
481,226
88,578
39,186
214,53
634,512
450,299
461,426
64,704
543,320
299,543
704,450
461,64
320,426
608,522
170,764
456,629
847,41
786,118
88,49
597,839
428,298
389,266
639,570
476,590
257,774
396,662
599,243
467,123
578,213
618,624
377,801
539,112
735,322
90,36
295,169
294,34
7,33
427,389
786,131
674,655
213,278
791,428
838,608
369,847
775,641
590,12
396,162
515,467
296,599
456,782
536,170
388,257
570,585
231,249
831,429
103,548
340,508
800,769
276,461
374,387
276,112
800,249
461,508
769,429
340,831
387,231
548,374
233,704
364,806
634,777
543,222
609,664
111,410
127,10
45,646
630,591
638,152
233,704
634,512
427,456
428,278
396,782
847,674
12,655
369,590
570,838
641,613
599,296
791,213
786,131
388,257
608,585
170,536
162,389
467,515
88,545
702,224
226,174
364,326
337,317
409,634
389,427
88,243
538,428
591,570
315,296
629,298
773,511
848,799
608,41
515,369
639,847
372,599
95,278
476,467
764,266
61,536
786,398
522,655
782,456
662,279
590,123
162,49
388,12
213,668
165,348
791,242
597,257
396,253
640,170
707,360
131,838
585,674
701,309
531,368
687,712
266,170
838,257
131,105
848,764
360,279
512,409
717,375
158,544
538,282
57,369
365,657
733,727
180,380
327,510
372,574
585,608
629,599
123,775
590,242
388,570
578,511
315,655
597,49
41,396
674,640
213,88
799,479
162,522
707,791
12,668
296,773
639,427
278,8
165,243
467,515
456,476
428,662
389,118
786,95
847,61
782,774
547,106
737,345
110,330
279,479
