p11,p22
266,467
791,372
847,840
399,348
278,640
360,781
213,61
578,241
174,687
314,488
704,233
639,799
538,296
369,848
456,279
629,608
88,257
786,838
427,476
95,599
511,131
298,389
590,388
707,123
242,170
655,515
597,775
162,41
428,315
773,774
662,570
12,165
396,764
536,668
49,243
782,591
176,162
707,537
146,402
505,464
630,575
621,843
101,419
546,144
650,373
42,29
53,307
179,51
203,457
147,485
372,655
213,118
782,840
608,360
278,131
298,639
474,222
106,336
633,696
276,831
573,609
422,410
790,778
387,603
115,249
408,837
508,417
777,450
769,646
609,64
408,832
410,10
831,426
769,548
778,414
249,766
603,589
450,844
367,161
710,110
620,292
467,206
396,88
428,41
764,522
570,511
848,257
315,773
123,578
369,296
61,8
634,398
538,590
707,242
799,814
791,674
786,668
629,641
388,427
640,847
162,515
662,456
838,253
49,453
597,170
536,12
476,599
693,549
312,651
272,714
170,799
372,613
773,785
118,515
791,467
590,131
388,476
503,753
126,204
392,460
106,696
33,591
409,448
634,784
388,476
536,570
655,674
278,608
369,847
641,206
427,640
428,707
578,95
12,786
599,348
629,774
668,782
538,775
597,585
123,453
298,61
456,360
662,639
49,165
315,243
257,296
511,396
242,279
41,838
87,522
108,319
694,259
660,740
131,613
298,799
453,242
123,360
278,389
257,847
515,785
597,640
646,508
512,387
548,615
784,777
367,807
106,711
692,654
639,165
570,655
369,782
396,791
538,476
634,8
41,668
243,707
786,467
599,585
578,773
61,266
774,848
428,388
49,296
674,162
12,427
629,814
511,398
372,118
838,213
315,662
456,536
608,590
719,699
155,722
747,275
216,164
142,175
7,495
496,667
475,286
773,266
372,838
775,467
785,764
278,522
118,674
360,95
807,316
634,784
409,448
696,329
633,320
181,743
428,279
538,388
453,348
668,515
242,511
707,662
396,786
298,213
296,123
791,774
369,41
629,8
253,608
847,49
315,165
570,782
243,599
585,640
131,597
456,590
639,536
476,12
61,848
427,257
655,389
675,579
542,173
78,232
337,489
654,156
233,709
689,382
460,299
329,696
336,708
316,680
110,743
356,704
367,392
710,633
106,181
428,315
615,387
512,508
777,646
548,784
64,550
575,436
315,639
315,597
528,499
503,38
757,218
485,630
255,402
315,597
214,621
591,189
529,656
196,559
36,28
29,497
579,549
542,651
272,232
7,624
283,735
283,735
51,507
812,111
550,849
315,590
108,693
312,259
714,660
316,173
315,33
319,719
694,155
740,747
731,269
565,101
485,42
575,67
214,239
402,307
316,384
849,450
55,631
675,699
173,722
78,275
299,709
382,161
434,329
323,211
800,284
340,510
374,718
704,336
460,245
696,743
700,461
510,112
718,340
323,229
392,741
316,633
106,110
7,581
64,550
450,543
849,256
677,229
374,185
700,510
800,211
42,403
139,132
175,46
565,813
214,67
233,181
156,367
689,710
255,501
238,292
529,620
33,503
719,160
155,542
747,232
591,7
550,849
64,256
450,72
543,246
282,545
282,545
545,282
111,767
45,293
549,108
651,259
272,660
100,301
468,564
666,533
16,495
468,533
564,666
16,301
495,100
533,16
468,301
666,495
564,100
316,541
488,233
349,693
312,173
78,714
500,86
850,482
438,101
420,496
761,463
402,255
316,740
256,72
849,543
550,246
64,450
335,333
538,510
620,192
319,699
722,694
275,740
161,245
299,743
704,329
106,709
392,382
654,633
367,110
741,181
710,316
485,140
529,202
829,218
757,264
815,430
19,99
72,614
33,420
7,402
214,630
581,255
233,336
460,689
696,320
292,101
550,622
246,416
543,589
64,60
256,426
620,96
238,53
490,656
319,579
694,542
740,232
283,285
283,285
642,824
575,554
108,675
173,259
78,660
740,741
174,328
428,655
699,549
722,651
733,481
578,210
315,366
154,803
7,630
39,663
564,235
373,196
638,506
19,101
365,364
737,735
112,110
106,377
402,135
99,474
158,55
226,708
826,88
314,282
365,272
631,657
88,707
65,730
176,366
702,431
315,726
364,227
687,339
491,328
808,162
381,578
796,757
506,83
315,57
365,300
419,601
20,58
153,144
364,317
299,232
55,176
162,536
538,433
333,345
275,272
33,565
402,29
815,630
741,723
7,581
307,147
45,620
668,456
737,57
719,693
312,155
714,747
106,336
460,734
633,696
283,388
242,314
323,185
112,745
374,340
461,284
677,800
283,242
388,314
680,39
680,39
367,329
181,708
710,299
314,533
283,640
242,646
388,339
510,745
677,211
340,185
284,112
429,374
640,4
388,19
242,761
597,402
88,456
668,315
538,629
123,536
634,782
326,51
428,162
39,680
478,251
612,77
110,382
316,709
741,654
122,817
523,828
395,354
359,517
290,783
297,117
577,106
792,793
107,121
289,593
704,502
208,354
765,652
214,134
255,264
67,630
500,463
147,528
829,430
650,187
218,830
432,42
168,529
7,485
53,277
269,36
436,29
704,233
743,156
689,680
792,354
793,122
121,849
577,517
251,117
354,607
299,612
593,652
107,502
828,280
297,208
478,273
765,783
290,395
817,523
693,699
722,312
714,275
629,707
634,296
668,591
536,33
51,3
162,307
88,590
402,386
735,531
735,531
828,289
395,792
297,612
523,652
517,354
107,704
290,106
502,77
593,354
121,359
817,251
110,117
122,783
577,765
793,478
503,90
624,466
157,760
620,754
675,319
694,173
78,740
502,299
208,828
593,577
107,77
517,251
478,354
792,117
280,765
290,607
817,652
523,359
122,395
612,354
297,121
793,289
579,108
259,542
232,660
7,214
630,575
33,255
51,307
620,754
538,315
719,549
155,651
272,747
181,336
460,710
696,749
538,315
272,39
272,39
110,320
316,689
233,356
272,39
709,704
654,680
382,743
485,168
146,202
575,42
199,221
111,264
189,218
581,565
420,402
51,36
329,633
106,299
708,392
784,422
634,778
448,415
409,387
214,53
591,829
14,656
292,811
675,719
173,155
78,747
545,701
545,701
540,94
45,30
693,160
312,542
714,232
339,233
319,549
694,651
740,272
42,51
7,69
503,190
438,152
214,255
402,485
422,249
784,113
778,276
448,512
634,635
415,637
387,417
409,413
108,699
722,259
275,660
708,741
299,316
110,329
275,39
39,275
710,245
743,367
181,704
7,581
275,39
633,156
233,106
392,689
624,255
630,175
485,307
42,214
101,84
99,198
430,810
239,218
67,420
413,408
696,434
460,709
336,654
409,831
635,548
784,777
415,410
448,809
634,770
249,407
637,788
417,849
387,115
512,10
422,573
113,832
276,450
402,490
90,575
139,470
53,620
33,621
591,565
96,43
638,203
108,719
155,259
747,660
282,361
282,361
503,151
494,98
339,106
160,699
722,542
232,275
106,331
549,675
173,651
78,272
45,200
630,255
147,179
19,39
620,638
319,693
694,312
714,740
704,734
633,680
106,743
704,39
704,39
654,367
710,382
709,181
51,630
704,39
689,161
233,708
299,320
402,403
45,751
258,529
621,277
761,830
463,439
307,581
13,192
336,741
460,316
110,696
485,214
33,591
36,664
534,222
535,457
656,269
144,665
620,795
815,199
538,536
315,369
630,575
295,287
401,825
331,704
646,548
784,387
615,512
508,777
704,283
33,189
7,581
367,392
106,181
710,633
704,110
741,743
316,245
214,218
512,784
777,548
615,508
646,387
460,161
336,329
696,299
264,200
307,277
101,85
192,58
430,469
233,382
654,156
709,689
815,7
387,777
503,751
45,465
656,501
620,533
133,560
36,157
458,445
591,33
283,299
214,402
299,510
140,200
7,255
387,777
51,621
420,620
591,402
510,654
214,168
255,193
811,506
307,45
528,26
830,199
14,42
529,69
485,581
7,420
33,630
53,147
190,754
503,29
824,490
710,320
743,673
233,181
689,749
316,106
633,110
734,356
245,460
704,696
654,299
709,329
434,708
784,615
512,646
548,508
777,387
33,591
538,315
134,420
200,132
463,193
761,624
630,402
777,387
538,315
233,696
460,156
320,336
754,222
316,367
710,110
181,741
222,506
754,638
646,615
777,512
784,508
106,709
654,392
633,382
591,215
39,47
430,342
168,575
581,501
214,179
67,218
7,463
326,233
364,233
337,803
481,224
88,578
366,226
322,547
801,330
345,539
707,326
702,344
801,314
545,547
174,55
33,485
727,309
327,368
687,180
510,531
733,712
380,701
369,176
536,282
162,717
544,631
365,328
333,335
560,569
533,468
763,619
795,84
663,129
754,101
538,154
375,184
57,335
315,657
210,158
634,573
581,51
591,7
470,644
39,483
536,428
299,106
403,505
704,161
329,680
299,743
630,420
485,815
419,139
264,196
262,436
51,53
255,529
490,36
495,540
29,68
213,515
591,402
508,409
784,414
777,448
548,417
515,213
439,468
638,443
630,238
214,469
7,485
387,64
406,831
450,835
646,410
777,414
573,548
769,508
590,427
213,515
538,315
620,763
590,396
427,74
743,689
233,245
704,156
396,61
427,296
74,242
590,123
33,591
590,49
61,188
296,95
123,504
242,456
396,782
427,814
74,93
716,224
709,316
382,356
110,654
233,300
161,710
299,181
329,367
646,777
387,414
615,409
512,417
508,410
784,450
548,76
448,422
538,707
214,402
575,815
190,168
581,404
218,148
560,563
650,133
500,505
548,508
460,392
696,633
106,336
485,630
7,255
646,835
387,831
450,406
777,573
276,769
414,609
646,64
406,835
831,410
450,387
769,414
548,276
777,609
573,508
428,590
239,638
538,707
414,448
503,624
496,664
111,36
668,597
538,707
590,662
409,548
646,450
777,784
387,422
512,508
417,410
615,76
382,680
224,701
485,45
548,414
33,581
214,255
646,831
410,450
64,835
387,406
609,769
777,508
573,276
646,450
410,406
831,64
387,835
573,414
276,508
777,769
548,609
428,538
88,655
57,662
315,488
708,734
106,329
299,633
716,531
743,654
704,709
689,741
316,156
233,110
456,369
375,668
536,12
162,123
565,238
410,835
548,769
638,518
45,373
529,486
581,420
192,553
292,754
101,222
218,29
751,560
710,696
367,336
181,673
387,410
450,64
406,646
831,835
609,573
777,276
508,414
387,646
831,450
64,406
777,548
276,414
573,769
609,508
503,179
490,19
575,46
168,277
33,591
662,735
655,233
538,600
12,317
123,707
428,337
456,55
668,366
488,396
375,147
315,7
536,512
162,630
88,402
57,634
369,168
434,336
709,460
382,696
633,689
233,106
156,392
743,367
704,710
680,181
512,406
508,114
448,291
615,411
76,249
450,415
409,246
414,769
417,276
646,844
777,10
410,831
387,788
784,780
548,302
422,766
668,655
538,162
329,110
741,161
299,316
662,599
707,315
296,388
701,682
224,374
531,285
716,653
512,409
476,427
326,707
339,331
64,622
508,415
408,550
249,450
543,766
769,835
387,291
777,790
414,72
519,426
302,589
832,844
790,603
450,832
835,426
766,519
249,844
550,414
415,302
291,589
266,456
315,538
339,726
331,240
240,338
726,461
110,460
316,336
696,356
689,329
233,299
161,156
114,413
249,64
291,832
448,408
512,790
769,635
508,634
831,281
450,543
646,248
409,60
417,116
784,72
780,589
548,573
422,835
387,603
410,423
615,451
367,654
710,709
181,382
515,600
162,545
704,106
633,245
743,392
538,88
782,662
701,539
531,180
224,700
716,510
374,331
653,361
682,284
285,112
512,409
639,597
538,209
634,422
12,590
536,162
369,805
700,689
10,452
831,407
415,842
777,778
844,550
76,75
788,80
411,115
302,837
414,426
406,609
114,598
766,816
246,622
276,351
515,279
213,785
707,364
634,422
515,583
279,56
785,524
213,838
315,536
56,250
583,354
785,104
524,289
213,207
838,738
515,273
279,117
512,409
785,363
738,566
207,521
289,405
104,577
838,371
279,552
273,303
88,369
213,479
56,121
524,652
117,516
250,802
515,683
354,611
583,359
634,422
538,326
536,803
538,510
777,646
422,634
536,435
510,732
512,409
732,510
369,162
510,732
315,536
538,315
538,536
88,210
422,409
545,369
315,713
375,314
317,547
337,176
735,808
634,777
512,615
784,646
410,573
488,345
366,578
55,364
366,726
337,174
375,155
547,544
345,539
364,498
808,224
176,806
488,283
317,531
640,7
409,387
578,365
314,233
538,326
326,88
510,461
707,326
732,112
387,646
409,777
162,227
735,440
345,803
498,226
155,240
317,368
544,327
283,326
55,819
578,442
539,112
808,697
174,537
314,81
364,334
366,687
547,355
375,801
488,545
337,331
726,377
531,712
387,512
365,270
233,163
735,347
